id,species_key,scientific_name,common_name,is_endemic_sumatra,quality,recordist,date,time,country,locality,latitude,longitude,elevation,length_sec,license,url_page,url_audio,file_path,sha256,status
964067,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Daan Drukker,2024-12-09,08:13,Indonesia,"Gunung Raya, Kerinci Regency, Jambi",-2.304,101.5327,,0:44,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/964067,https://xeno-canto.org/964067/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC964067_Carpococcyx_viridis.mp3,f985d24ec424317d63d654aba97a0e1de9ae2493386aa78d1339c9705560da62,Ready_Existing
943924,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Kim Chuah Lim,2024-10-19,11:00,Indonesia,"Kecamatan Gunung Raya, Kabupaten Kerinci, Jambi",-2.3268,101.5399,,2:05,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/943924,https://xeno-canto.org/943924/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC943924_Carpococcyx_viridis.mp3,4fb4f31abcee23c56b057965d7996a4a03d06fb8ea3863e2a374c86bca2b8311,Ready_Existing
943916,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Kim Chuah Lim,2024-10-19,09:00,Indonesia,"Kecamatan Gunung Raya, Kabupaten Kerinci, Jambi",-2.3268,101.5399,,0:14,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/943916,https://xeno-canto.org/943916/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC943916_Carpococcyx_viridis.mp3,37bd361bedb00a4fa7c26df9174c604427ca02ba6b6318dfc0dd42e00382102e,Ready_Existing
943914,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Kim Chuah Lim,2024-10-19,09:00,Indonesia,"Kecamatan Gunung Raya, Kabupaten Kerinci, Jambi",-2.3268,101.5399,,1:04,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/943914,https://xeno-canto.org/943914/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC943914_Carpococcyx_viridis.mp3,2dce2f2860a5ec8c4152280b982a41d571e2c1a3b8884748480d34ea46db6370,Ready_Existing
943912,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Kim Chuah Lim,2024-10-19,08:40,Indonesia,"Kecamatan Gunung Raya, Kabupaten Kerinci, Jambi",-2.3268,101.5399,,0:10,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/943912,https://xeno-canto.org/943912/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC943912_Carpococcyx_viridis.mp3,d334d9c0d2457fe905704b3678f6a82e516b3e587ab4c81886ab8dc443fcdc43,Ready_Existing
306523,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Stijn Cooleman,2014-07-18,11:19,Indonesia,"Way Titias, Bukit Barisan Selatan NP, Lampung, Sumatra",-5.0685,104.0258,,0:27,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/306523,https://xeno-canto.org/306523/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC306523_Carpococcyx_viridis.mp3,29ee0452132dba081110275efd8566cf03871327b91b33c4e210347402835e85,Ready_Existing
301157,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Gareth K.,2013-02-07,07:30,Indonesia,"Balik Bukit, Lampung Barat, Lampung",-5.0656,104.1012,,1:09,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/301157,https://xeno-canto.org/301157/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC301157_Carpococcyx_viridis.mp3,2dfb5b45970a0ced079c49da8187345493b5ace82a34bf4e033bd3cf4889eae4,Ready_Existing
196215,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,yann muzika,2014-09-03,11:18,Indonesia,"Way Titias, Bukit Barisan Selatan NP, Lampung, Sumatra",-5.0685,104.0258,,0:11,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/196215,https://xeno-canto.org/196215/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC196215_Carpococcyx_viridis.mp3,788f39bb4b0309747e45d6bb4cffad992f517980c3b6cf71f5d001fcdc9da7fb,Ready_Existing
196213,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,yann muzika,2014-09-04,11:04,Indonesia,"Way Titias, Bukit Barisan Selatan NP, Lampung, Sumatra",-5.0685,104.0258,,1:07,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/196213,https://xeno-canto.org/196213/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC196213_Carpococcyx_viridis.mp3,0aafe336fa47f8f625b89c2daee5725c81a6754363627801a66a91379854e9db,Ready_Existing
56937,Carpococcyx_viridis,Carpococcyx viridis,Sumatran Ground Cuckoo,True,A,Fabian Ducry &amp; David Marques,2009-09-05,?,Indonesia,"Way Titias, Bukit Barisan Selatan NP, Lampung, Sumatra",-5.0684,104.0256,,0:19,https://creativecommons.org/licenses/by-nc-nd/2.5/,https://xeno-canto.org/56937,https://xeno-canto.org/56937/download,d:/FILE AND TASK/TA/data/xeno_canto\Carpococcyx_viridis\XC56937_Carpococcyx_viridis.mp3,9be7e22283cfd30ff0254557d56d003118b3fc6962676df1add330f924acadd2,Ready_Existing
