id,taman_nasional,nama_taman_nasional,wilayah,taksonomi,genus,spesies,nama_ilmiah,nama_inggris,kualitas,durasi,lokasi,latitude,longitude,perekam,url_halaman,url_audio,file_path_lokal,status,isolated_file_path,role
1077492,TN_Gunung_Leuser,Taman Nasional Gunung Leuser,Aceh & Sumatera Utara,Land_Mammals,Symphalangus,syndactylus,Symphalangus syndactylus,Siamang,C,0:09,"3.2 km WNW Bukit Lawang, Gunung Leuser NP, North Sumatra",3.553,98.1064,Kalimaya Krabbe,https://xeno-canto.org/1077492,https://xeno-canto.org/1077492/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Gunung_Leuser\Land_Mammals\Symphalangus_syndactylus\XC1077492_Symphalangus_syndactylus.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC1077492_Symphalangus_syndactylus.mp3,open_set_unknown_query
1028705,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Land_Mammals,Sundasciurus,altitudinis,Sundasciurus altitudinis,Sumatran Mountain Squirrel,A,0:29,"Pos 1 Bangku Panjang, Kabupaten Kerinci, Jambi",-1.7418,101.2602,Daan Drukker,https://xeno-canto.org/1028705,https://xeno-canto.org/1028705/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Kerinci_Seblat\Land_Mammals\Sundasciurus_altitudinis\XC1028705_Sundasciurus_altitudinis.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC1028705_Sundasciurus_altitudinis.mp3,open_set_unknown_query
964079,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Land_Mammals,Callosciurus,nigrovittatus,Callosciurus nigrovittatus,Black-striped Squirrel,A,0:14,"Gunung Raya, Kerinci Regency, Jambi",-2.3054,101.5315,Daan Drukker,https://xeno-canto.org/964079,https://xeno-canto.org/964079/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Kerinci_Seblat\Land_Mammals\Callosciurus_nigrovittatus\XC964079_Callosciurus_nigrovittatus.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC964079_Callosciurus_nigrovittatus.mp3,open_set_unknown_query
964078,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Land_Mammals,Callosciurus,nigrovittatus,Callosciurus nigrovittatus,Black-striped Squirrel,A,0:25,"Gunung Raya, Kerinci Regency, Jambi",-2.3054,101.5315,Daan Drukker,https://xeno-canto.org/964078,https://xeno-canto.org/964078/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Kerinci_Seblat\Land_Mammals\Callosciurus_nigrovittatus\XC964078_Callosciurus_nigrovittatus.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC964078_Callosciurus_nigrovittatus.mp3,open_set_unknown_query
963568,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Land_Mammals,Symphalangus,syndactylus,Symphalangus syndactylus,Siamang,A,2:25,"Pos 3 Pondok Panorama, Kabupaten Kerinci, Jambi",-1.729,101.2622,Daan Drukker,https://xeno-canto.org/963568,https://xeno-canto.org/963568/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Kerinci_Seblat\Land_Mammals\Symphalangus_syndactylus\XC963568_Symphalangus_syndactylus.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC963568_Symphalangus_syndactylus.mp3,open_set_unknown_query
1031374,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Land_Mammals,Presbytis,melalophos,Presbytis melalophos,Black-crested Sumatran Langur,B,0:32,"Kayu Aro, Kerinci, Jambi",-1.745,101.259,Frank Lambert,https://xeno-canto.org/1031374,https://xeno-canto.org/1031374/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Kerinci_Seblat\Land_Mammals\Presbytis_melalophos\XC1031374_Presbytis_melalophos.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC1031374_Presbytis_melalophos.mp3,open_set_unknown_query
1082241,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Land_Mammals,Mystery,mystery,Mystery mystery,Identity unknown,B,0:31,"Mount Kerinci, West Sumatra, Sumatra",-1.7342,101.2512,Kalvin Chan,https://xeno-canto.org/1082241,https://xeno-canto.org/1082241/download,,Melebihi Kuota Spesies,,open_set_unknown_query
965549,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Bats,Saccolaimus,saccolaimus,Saccolaimus saccolaimus,Bare-rumped Sheath-tailed Bat,A,1:00,"Sungai Penuh, Sungai Penuh City, Jambi",-2.0754,101.4048,Daan Drukker,https://xeno-canto.org/965549,https://xeno-canto.org/965549/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Kerinci_Seblat\Bats\Saccolaimus_saccolaimus\XC965549_Saccolaimus_saccolaimus.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Bats\UNKNOWN_XC965549_Saccolaimus_saccolaimus.mp3,open_set_unknown_query
964143,TN_Kerinci_Seblat,Taman Nasional Kerinci Seblat,"Jambi, Sumatera Barat, Bengkulu, Sumatera Selatan",Land_Mammals,Macaca,nemestrina,Macaca nemestrina,Southern Pig-tailed Macaque,A,0:29,"Sungai Bungkal, Sungai Penuh City, Jambi",-2.0587,101.2927,Daan Drukker,https://xeno-canto.org/964143,https://xeno-canto.org/964143/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Kerinci_Seblat\Land_Mammals\Macaca_nemestrina\XC964143_Macaca_nemestrina.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC964143_Macaca_nemestrina.mp3,open_set_unknown_query
1031364,TN_Way_Kambas,Taman Nasional Way Kambas,Lampung,Land_Mammals,Symphalangus,syndactylus,Symphalangus syndactylus,Siamang,A,1:22,"Way Kambas NP, Lampung, Sumatra",-4.9178,105.7489,Frank Lambert,https://xeno-canto.org/1031364,https://xeno-canto.org/1031364/download,d:/FILE AND TASK/TA/Dataset/Bioakustik_Sumatera\TN_Way_Kambas\Land_Mammals\Symphalangus_syndactylus\XC1031364_Symphalangus_syndactylus.mp3,Tersimpan,d:/FILE AND TASK/TA/data/unknown_open_set\Land_Mammals\UNKNOWN_XC1031364_Symphalangus_syndactylus.mp3,open_set_unknown_query
