representation,condition,snr_db,mAP@10,Recall@10,Precision@10,Top1_Accuracy,relative_retention,absolute_drop
R0,Clean,999,0.10286232932889466,0.1001682422343116,0.16489361702127658,0.35106382978723405,1.0,0.0
R0,SNR_20dB,20,0.07698569833764869,0.09801074252362042,0.14468085106382977,0.22340425531914893,0.7484343280958827,0.025876630991245972
R0,SNR_10dB,10,0.0549272989337579,0.07979048760123789,0.1202127659574468,0.11702127659574468,0.5339884804487748,0.04793503039513677
R0,SNR_0dB,0,0.04094393785883147,0.05172618534880573,0.09468085106382977,0.1276595744680851,0.3980459914330373,0.06191839147006319
R0,SNR_-5dB,-5,0.02816858747044917,0.040235651184699336,0.07340425531914893,0.05319148936170213,0.27384745858109244,0.07469374185844549
R1,Clean,999,0.22987253441565747,0.20361930591493854,0.3085106382978724,0.425531914893617,1.0,0.0
R1,SNR_20dB,20,0.23417059170003696,0.20467977275928,0.3042553191489362,0.46808510638297873,1.0186975677425112,-0.004298057284379486
R1,SNR_10dB,10,0.22388804457953393,0.19192661077879442,0.28297872340425534,0.39361702127659576,0.9739660510058921,0.005984489836123541
R1,SNR_0dB,0,0.11090565747575627,0.12609134333378452,0.1851063829787234,0.19148936170212766,0.48246589248986016,0.1189668769399012
R1,SNR_-5dB,-5,0.044993150037792896,0.07446810561592196,0.11702127659574468,0.09574468085106383,0.1957308651604106,0.18487938437786458
R2,Clean,999,0.24080203692982316,0.19930950472943748,0.3085106382978724,0.5,1.0,0.0
R2,SNR_20dB,20,0.2314867182097425,0.19341046629120534,0.2957446808510638,0.46808510638297873,0.9613154488273893,0.009315318720080651
R2,SNR_10dB,10,0.21370360821633627,0.17149919789057524,0.26276595744680853,0.40425531914893614,0.8874659489637782,0.02709842871348689
R2,SNR_0dB,0,0.15890087674155556,0.14778039895901035,0.22553191489361704,0.32978723404255317,0.6598817799363714,0.0819011601882676
R2,SNR_-5dB,-5,0.09358623748947964,0.11701921973758478,0.17553191489361702,0.20212765957446807,0.38864387811118656,0.14721579944034352
R3,Clean,999,0.01831686930091185,0.0405841744419572,0.06489361702127659,0.02127659574468085,1.0,0.0
R3,SNR_20dB,20,0.022323855960824042,0.03735144630161428,0.06808510638297872,0.02127659574468085,1.218759362972182,-0.0040069866599121914
R3,SNR_10dB,10,0.020863517392772712,0.03225789763303761,0.05638297872340426,0.06382978723404255,1.1390329346147643,-0.0025466480918608612
R3,SNR_0dB,0,0.014853512326916582,0.024683440548502137,0.04042553191489363,0.06382978723404255,0.810919818387149,0.003463356973995269
R3,SNR_-5dB,-5,0.017877476640774513,0.035860354650948154,0.057446808510638284,0.0425531914893617,0.9760115851175799,0.0004393926601373374
