id,species_key,split_role,sr_original,sr_processed,dur_original_sec,dur_processed_sec,rms_original,rms_processed,peak_original,peak_processed
1082251,Apalharpactes mackloti,query_clean,44100,32000,18.89,5.0,0.0598,0.05,0.5747,0.4235
1082252,Apalharpactes mackloti,gallery,44100,32000,34.94,5.0,0.0402,0.05,0.3351,0.3814
409514,Apalharpactes mackloti,calibration,48000,32000,33.84,5.0,0.024,0.05,0.5801,0.5962
409516,Apalharpactes mackloti,gallery,48000,32000,48.22,5.0,0.0345,0.05,0.7427,0.6708
374026,Apalharpactes mackloti,gallery,44100,32000,42.89,5.0,0.0637,0.05,0.8796,0.3723
621171,Apalharpactes mackloti,gallery,44100,32000,39.71,5.0,0.0059,0.05,0.0933,0.5814
621171,Apalharpactes mackloti,gallery,44100,32000,39.71,5.0,0.0059,0.05,0.0933,0.5814
691498,Apalharpactes mackloti,gallery,44100,32000,188.29,5.0,0.047,0.05,0.9028,0.3942
374656,Apalharpactes mackloti,gallery,44100,32000,4.05,5.0,0.0105,0.05,0.0649,0.3411
499303,Apalharpactes mackloti,gallery,48000,32000,34.55,5.0,0.0125,0.05,0.1574,0.3987
1082243,Batrachostomus_poliolophus,query_clean,44100,32000,7.89,5.0,0.1064,0.05,0.6695,0.2871
56930,Batrachostomus_poliolophus,calibration,44100,32000,44.78,5.0,0.016,0.05,0.654,0.5348
90910,Batrachostomus_poliolophus,gallery,44100,32000,6.07,5.0,0.1514,0.05,0.7716,0.2541
241720,Batrachostomus_poliolophus,gallery,44100,32000,2.78,5.0,0.0175,0.05,0.1859,0.6149
241718,Batrachostomus_poliolophus,gallery,44100,32000,28.99,5.0,0.0062,0.05,0.0599,0.3324
409525,Batrachostomus_poliolophus,gallery,48000,32000,28.87,5.0,0.0525,0.05,0.4597,0.2799
621170,Batrachostomus_poliolophus,gallery,44100,32000,60.08,5.0,0.007,0.05,0.0493,0.3026
39384,Caprimulgus_pulchellus,query_clean,44100,32000,37.93,5.0,0.1696,0.05,0.8388,0.2308
409533,Caprimulgus_pulchellus,calibration,48000,32000,3.46,5.0,0.0423,0.05,0.3431,0.4902
898778,Caprimulgus_pulchellus,gallery,44100,32000,56.66,5.0,0.0564,0.05,0.3561,0.2502
