case_id,failure_type,query_id,true_species,predicted_species,condition,similarity_score,threshold_tau,primary_cause,diagnosis_and_threat
FAIL_001,False_Negative,SAMPLE_AUDIT_001,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR -5 dB,0.4215,0.45,low_snr_masking,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_002,False_Positive,SAMPLE_AUDIT_002,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_003,False_Negative,SAMPLE_AUDIT_003,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_004,False_Positive,SAMPLE_AUDIT_004,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR -5 dB,0.4215,0.45,low_snr_masking,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_005,False_Negative,SAMPLE_AUDIT_005,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_006,False_Positive,SAMPLE_AUDIT_006,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_007,False_Negative,SAMPLE_AUDIT_007,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR -5 dB,0.4215,0.45,low_snr_masking,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_008,False_Positive,SAMPLE_AUDIT_008,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_009,False_Negative,SAMPLE_AUDIT_009,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_010,False_Positive,SAMPLE_AUDIT_010,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR -5 dB,0.4215,0.45,low_snr_masking,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_011,False_Negative,SAMPLE_AUDIT_011,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_012,False_Positive,SAMPLE_AUDIT_012,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_013,False_Negative,SAMPLE_AUDIT_013,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR -5 dB,0.4215,0.45,low_snr_masking,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_014,False_Positive,SAMPLE_AUDIT_014,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_015,False_Negative,SAMPLE_AUDIT_015,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_016,False_Positive,SAMPLE_AUDIT_016,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR -5 dB,0.4215,0.45,low_snr_masking,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_017,False_Negative,SAMPLE_AUDIT_017,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_018,False_Positive,SAMPLE_AUDIT_018,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_019,False_Negative,SAMPLE_AUDIT_019,Gypsophila_rufipectus,Pnoepyga_pusilla,SNR -5 dB,0.4215,0.45,low_snr_masking,Derau latar belakang merusak struktur formulan vokal burung target.
FAIL_020,False_Positive,SAMPLE_AUDIT_020,UNKNOWN_GRASSHOPPER,Orthotomus_ruficeps,SNR 0 dB,0.4215,0.45,acoustic_feature_overlap,Derau latar belakang merusak struktur formulan vokal burung target.
